algorithm,size,backend,oracle_shots,epsilon,batch
dj,4,aer_simulator,50,0.1,50
dj,4,fake_kyiv,50,0.1,50
dj,4,fake_marrakesh,50,0.1,50
dj,4,fake_sherbrooke,50,0.1,50
dj,5,aer_simulator,50,0.1,50
dj,5,fake_fez,50,0.1,50
dj,5,fake_kyiv,50,0.1,50
dj,5,fake_marrakesh,50,0.1,50
dj,5,fake_sherbrooke,50,0.1,50
dj,5,fake_torino,50,0.1,50
dj,6,aer_simulator,50,0.1,50
dj,6,fake_fez,50,0.1,50
dj,6,fake_kyiv,50,0.1,50
dj,6,fake_marrakesh,50,0.1,50
dj,6,fake_sherbrooke,50,0.1,50
dj,6,fake_torino,100,0.1,50
dj,7,aer_simulator,50,0.1,50
dj,7,fake_fez,50,0.1,50
dj,7,fake_kyiv,100,0.1,50
dj,7,fake_marrakesh,50,0.1,50
dj,7,fake_sherbrooke,150,0.1,50
dj,7,fake_torino,200,0.1,50
dj,8,aer_simulator,50,0.1,50
dj,8,fake_kyiv,150,0.1,50
dj,8,fake_sherbrooke,150,0.1,50
dj,8,fake_torino,250,0.1,50
dj,9,aer_simulator,50,0.1,50
dj,9,fake_fez,50,0.1,50
dj,9,fake_kyiv,200,0.1,50
dj,9,fake_marrakesh,200,0.1,50
dj,9,fake_sherbrooke,250,0.1,50
dj,9,fake_torino,400,0.1,50
dj,10,aer_simulator,50,0.1,50
dj,10,fake_kyiv,500,0.1,50
dj,10,fake_marrakesh,150,0.1,50
dj,10,fake_sherbrooke,400,0.1,50
dj,11,aer_simulator,50,0.1,50
dj,11,fake_fez,200,0.1,50
dj,11,fake_kyiv,800,0.1,50
dj,11,fake_marrakesh,200,0.1,50
dj,11,fake_sherbrooke,600,0.1,50
dj,11,fake_torino,500,0.1,50
dj,12,aer_simulator,50,0.1,50
dj,12,fake_fez,200,0.1,50
dj,12,fake_kyiv,750,0.1,50
dj,12,fake_marrakesh,100,0.1,50
dj,12,fake_sherbrooke,900,0.1,50
dj,12,fake_torino,500,0.1,50
dj,13,aer_simulator,50,0.1,50
dj,13,fake_fez,250,0.1,50
dj,13,fake_kyiv,700,0.1,50
dj,13,fake_marrakesh,200,0.1,50
dj,13,fake_sherbrooke,800,0.1,50
dj,13,fake_torino,650,0.1,50
dj,14,aer_simulator,50,0.1,50
dj,14,fake_kyiv,1800,0.1,50
dj,14,fake_sherbrooke,750,0.1,50
dj,14,fake_torino,1100,0.1,50
dj,15,aer_simulator,50,0.1,50
dj,15,fake_fez,650,0.1,50
dj,15,fake_kyiv,2500,0.1,50
dj,15,fake_marrakesh,400,0.1,50
dj,15,fake_sherbrooke,1700,0.1,50
dj,15,fake_torino,1900,0.1,50
ghz,4,aer_simulator,100,0.1,50
ghz,4,fake_fez,50,0.1,50
ghz,4,fake_kyiv,100,0.1,50
ghz,4,fake_marrakesh,150,0.1,50
ghz,4,fake_sherbrooke,50,0.1,50
ghz,4,fake_torino,100,0.1,50
ghz,5,aer_simulator,100,0.1,50
ghz,5,fake_fez,50,0.1,50
ghz,5,fake_kyiv,200,0.1,50
ghz,5,fake_marrakesh,50,0.1,50
ghz,5,fake_sherbrooke,50,0.1,50
ghz,5,fake_torino,100,0.1,50
ghz,6,aer_simulator,50,0.1,50
ghz,6,fake_fez,150,0.1,50
ghz,6,fake_kyiv,100,0.1,50
ghz,6,fake_marrakesh,200,0.1,50
ghz,6,fake_sherbrooke,100,0.1,50
ghz,6,fake_torino,100,0.1,50
ghz,7,aer_simulator,50,0.1,50
ghz,7,fake_fez,250,0.1,50
ghz,7,fake_kyiv,50,0.1,50
ghz,7,fake_marrakesh,50,0.1,50
ghz,7,fake_sherbrooke,50,0.1,50
ghz,7,fake_torino,50,0.1,50
ghz,8,aer_simulator,50,0.1,50
ghz,8,fake_fez,150,0.1,50
ghz,8,fake_kyiv,100,0.1,50
ghz,8,fake_marrakesh,100,0.1,50
ghz,8,fake_sherbrooke,250,0.1,50
ghz,8,fake_torino,250,0.1,50
ghz,9,aer_simulator,50,0.1,50
ghz,9,fake_fez,100,0.1,50
ghz,9,fake_kyiv,150,0.1,50
ghz,9,fake_marrakesh,150,0.1,50
ghz,9,fake_sherbrooke,100,0.1,50
ghz,9,fake_torino,250,0.1,50
ghz,10,aer_simulator,50,0.1,50
ghz,10,fake_fez,50,0.1,50
ghz,10,fake_kyiv,150,0.1,50
ghz,10,fake_marrakesh,150,0.1,50
ghz,10,fake_sherbrooke,300,0.1,50
ghz,10,fake_torino,250,0.1,50
ghz,11,aer_simulator,50,0.1,50
ghz,11,fake_fez,300,0.1,50
ghz,11,fake_kyiv,200,0.1,50
ghz,11,fake_marrakesh,100,0.1,50
ghz,11,fake_sherbrooke,250,0.1,50
ghz,11,fake_torino,250,0.1,50
ghz,12,aer_simulator,200,0.1,50
ghz,12,fake_fez,350,0.1,50
ghz,12,fake_kyiv,500,0.1,50
ghz,12,fake_marrakesh,50,0.1,50
ghz,12,fake_sherbrooke,200,0.1,50
ghz,12,fake_torino,300,0.1,50
ghz,13,aer_simulator,50,0.1,50
ghz,13,fake_fez,200,0.1,50
ghz,13,fake_kyiv,500,0.1,50
ghz,13,fake_marrakesh,50,0.1,50
ghz,13,fake_sherbrooke,600,0.1,50
ghz,13,fake_torino,900,0.1,50
ghz,14,aer_simulator,50,0.1,50
ghz,14,fake_fez,250,0.1,50
ghz,14,fake_kyiv,750,0.1,50
ghz,14,fake_marrakesh,150,0.1,50
ghz,14,fake_sherbrooke,750,0.1,50
ghz,14,fake_torino,1200,0.1,50
ghz,15,aer_simulator,50,0.1,50
ghz,15,fake_fez,600,0.1,50
ghz,15,fake_kyiv,600,0.1,50
ghz,15,fake_marrakesh,250,0.1,50
ghz,15,fake_sherbrooke,500,0.1,50
ghz,15,fake_torino,550,0.1,50
grover-noancilla,4,aer_simulator,50,0.1,50
grover-noancilla,4,fake_fez,300,0.1,50
grover-noancilla,4,fake_kyiv,200,0.1,50
grover-noancilla,4,fake_marrakesh,250,0.1,50
grover-noancilla,4,fake_sherbrooke,150,0.1,50
grover-noancilla,4,fake_torino,200,0.1,50
grover-noancilla,5,aer_simulator,50,0.1,50
grover-noancilla,5,fake_fez,500,0.1,50
grover-noancilla,5,fake_kyiv,450,0.1,50
grover-noancilla,5,fake_marrakesh,300,0.1,50
grover-noancilla,5,fake_sherbrooke,350,0.1,50
grover-noancilla,5,fake_torino,550,0.1,50
grover-noancilla,6,aer_simulator,50,0.1,50
grover-noancilla,6,fake_fez,800,0.1,50
grover-noancilla,6,fake_kyiv,900,0.1,50
grover-noancilla,6,fake_marrakesh,950,0.1,50
grover-noancilla,6,fake_sherbrooke,650,0.1,50
grover-noancilla,6,fake_torino,900,0.1,50
grover-noancilla,7,aer_simulator,50,0.1,50
grover-noancilla,7,fake_fez,1750,0.1,50
grover-noancilla,7,fake_kyiv,2000,0.1,50
grover-noancilla,7,fake_marrakesh,1850,0.1,50
grover-noancilla,7,fake_sherbrooke,2100,0.1,50
grover-noancilla,7,fake_torino,1800,0.1,50
grover-noancilla,8,aer_simulator,50,0.1,50
grover-noancilla,8,fake_fez,3550,0.1,50
grover-noancilla,8,fake_kyiv,3500,0.1,50
grover-noancilla,8,fake_marrakesh,3350,0.1,50
grover-noancilla,8,fake_sherbrooke,3750,0.1,50
grover-noancilla,8,fake_torino,3450,0.1,50
grover-noancilla,9,aer_simulator,50,0.1,50
grover-noancilla,9,fake_fez,5850,0.1,50
grover-noancilla,9,fake_kyiv,6400,0.1,50
grover-noancilla,9,fake_marrakesh,6000,0.1,50
grover-noancilla,9,fake_sherbrooke,5600,0.1,50
grover-noancilla,9,fake_torino,5600,0.1,50
qaoa,4,aer_simulator,100,0.1,50
qaoa,4,fake_fez,50,0.1,50
qaoa,4,fake_kyiv,100,0.1,50
qaoa,4,fake_marrakesh,100,0.1,50
qaoa,4,fake_torino,100,0.1,50
qaoa,5,aer_simulator,200,0.1,50
qaoa,5,fake_fez,250,0.1,50
qaoa,5,fake_kyiv,450,0.1,50
qaoa,5,fake_marrakesh,150,0.1,50
qaoa,5,fake_sherbrooke,500,0.1,50
qaoa,5,fake_torino,300,0.1,50
qaoa,6,aer_simulator,350,0.1,50
qaoa,6,fake_fez,650,0.1,50
qaoa,6,fake_kyiv,600,0.1,50
qaoa,6,fake_sherbrooke,650,0.1,50
qaoa,6,fake_torino,700,0.1,50
qaoa,7,aer_simulator,1000,0.1,50
qaoa,7,fake_fez,1050,0.1,50
qaoa,7,fake_kyiv,1350,0.1,50
qaoa,7,fake_marrakesh,1000,0.1,50
qaoa,7,fake_sherbrooke,1500,0.1,50
qaoa,7,fake_torino,1150,0.1,50
qaoa,8,aer_simulator,1150,0.1,50
qaoa,8,fake_fez,1850,0.1,50
qaoa,8,fake_marrakesh,1400,0.1,50
qaoa,8,fake_torino,1900,0.1,50
qaoa,9,aer_simulator,1100,0.1,50
qaoa,9,fake_fez,3000,0.1,50
qaoa,9,fake_kyiv,3550,0.1,50
qaoa,9,fake_marrakesh,2250,0.1,50
qaoa,9,fake_sherbrooke,3350,0.1,50
qaoa,9,fake_torino,3100,0.1,50
qaoa,10,aer_simulator,2400,0.1,50
qaoa,10,fake_fez,4750,0.1,50
qaoa,10,fake_kyiv,6100,0.1,50
qaoa,10,fake_marrakesh,5100,0.1,50
qaoa,10,fake_torino,5700,0.1,50
qaoa,11,aer_simulator,3600,0.1,50
qaoa,11,fake_fez,5600,0.1,50
qaoa,11,fake_kyiv,7500,0.1,50
qaoa,11,fake_marrakesh,5050,0.1,50
qaoa,11,fake_sherbrooke,6900,0.1,50
qaoa,11,fake_torino,7200,0.1,50
qaoa,12,aer_simulator,4600,0.1,50
qaoa,12,fake_fez,7550,0.1,50
qaoa,12,fake_kyiv,10300,0.1,50
qaoa,12,fake_sherbrooke,9850,0.1,50
qaoa,12,fake_torino,9350,0.1,50
qaoa,13,aer_simulator,6350,0.1,50
qaoa,13,fake_fez,10450,0.1,50
qaoa,13,fake_kyiv,13100,0.1,50
qaoa,13,fake_marrakesh,10450,0.1,50
qaoa,13,fake_sherbrooke,12350,0.1,50
qaoa,13,fake_torino,12150,0.1,50
qaoa,14,aer_simulator,3250,0.1,50
qaoa,14,fake_fez,9000,0.1,50
qaoa,14,fake_marrakesh,8650,0.1,50
qaoa,14,fake_torino,11850,0.1,50
qaoa,15,aer_simulator,10200,0.1,50
qaoa,15,fake_fez,14200,0.1,50
qaoa,15,fake_kyiv,15950,0.1,50
qaoa,15,fake_marrakesh,13500,0.1,50
qaoa,15,fake_sherbrooke,15500,0.1,50
qaoa,15,fake_torino,15250,0.1,50
qft,4,aer_simulator,500,0.1,50
qft,4,fake_fez,250,0.1,50
qft,4,fake_kyiv,350,0.1,50
qft,4,fake_marrakesh,250,0.1,50
qft,4,fake_sherbrooke,150,0.1,50
qft,4,fake_torino,250,0.1,50
qft,5,aer_simulator,550,0.1,50
qft,5,fake_fez,600,0.1,50
qft,5,fake_kyiv,600,0.1,50
qft,5,fake_marrakesh,500,0.1,50
qft,5,fake_sherbrooke,550,0.1,50
qft,5,fake_torino,450,0.1,50
qft,6,aer_simulator,1200,0.1,50
qft,6,fake_kyiv,850,0.1,50
qft,6,fake_marrakesh,950,0.1,50
qft,6,fake_sherbrooke,1000,0.1,50
qft,7,aer_simulator,2200,0.1,50
qft,7,fake_fez,1450,0.1,50
qft,7,fake_kyiv,2200,0.1,50
qft,7,fake_marrakesh,1750,0.1,50
qft,7,fake_sherbrooke,1800,0.1,50
qft,7,fake_torino,2350,0.1,50
qft,8,aer_simulator,3600,0.1,50
qft,8,fake_kyiv,3250,0.1,50
qft,8,fake_marrakesh,3500,0.1,50
qft,8,fake_sherbrooke,3200,0.1,50
qft,9,aer_simulator,5300,0.1,50
qft,9,fake_fez,5900,0.1,50
qft,9,fake_kyiv,6200,0.1,50
qft,9,fake_marrakesh,6000,0.1,50
qft,9,fake_sherbrooke,6100,0.1,50
qft,9,fake_torino,6250,0.1,50
qft,10,aer_simulator,8750,0.1,50
qft,10,fake_fez,9050,0.1,50
qft,10,fake_kyiv,8700,0.1,50
qft,10,fake_marrakesh,8950,0.1,50
qft,10,fake_sherbrooke,8900,0.1,50
qft,10,fake_torino,8800,0.1,50
qft,11,aer_simulator,12600,0.1,50
qft,11,fake_fez,12300,0.1,50
qft,11,fake_kyiv,12500,0.1,50
qft,11,fake_marrakesh,12400,0.1,50
qft,11,fake_sherbrooke,12400,0.1,50
qft,11,fake_torino,12350,0.1,50
qft,12,aer_simulator,15100,0.1,50
qft,12,fake_kyiv,15350,0.1,50
qft,12,fake_marrakesh,15400,0.1,50
qft,12,fake_sherbrooke,15250,0.1,50
qft,13,aer_simulator,17200,0.1,50
qft,13,fake_fez,17200,0.1,50
qft,13,fake_kyiv,17200,0.1,50
qft,13,fake_marrakesh,17200,0.1,50
qft,13,fake_sherbrooke,17200,0.1,50
qft,13,fake_torino,17200,0.1,50
qft,14,aer_simulator,17750,0.1,50
qft,14,fake_kyiv,17750,0.1,50
qft,14,fake_marrakesh,17750,0.1,50
qft,14,fake_sherbrooke,17700,0.1,50
qft,15,aer_simulator,17900,0.1,50
qft,15,fake_fez,17900,0.1,50
qft,15,fake_kyiv,17900,0.1,50
qft,15,fake_marrakesh,17900,0.1,50
qft,15,fake_sherbrooke,17900,0.1,50
qft,15,fake_torino,17900,0.1,50
qnn,4,aer_simulator,250,0.1,50
qnn,4,fake_fez,200,0.1,50
qnn,4,fake_kyiv,150,0.1,50
qnn,4,fake_marrakesh,150,0.1,50
qnn,4,fake_sherbrooke,500,0.1,50
qnn,4,fake_torino,150,0.1,50
qnn,5,aer_simulator,300,0.1,50
qnn,5,fake_fez,250,0.1,50
qnn,5,fake_kyiv,400,0.1,50
qnn,5,fake_marrakesh,350,0.1,50
qnn,5,fake_sherbrooke,650,0.1,50
qnn,5,fake_torino,350,0.1,50
qnn,6,aer_simulator,450,0.1,50
qnn,6,fake_fez,650,0.1,50
qnn,6,fake_kyiv,700,0.1,50
qnn,6,fake_marrakesh,550,0.1,50
qnn,6,fake_sherbrooke,550,0.1,50
qnn,6,fake_torino,1200,0.1,50
qnn,7,aer_simulator,1550,0.1,50
qnn,7,fake_fez,1750,0.1,50
qnn,7,fake_kyiv,1650,0.1,50
qnn,7,fake_marrakesh,1550,0.1,50
qnn,7,fake_sherbrooke,2000,0.1,50
qnn,7,fake_torino,1700,0.1,50
qnn,8,aer_simulator,1950,0.1,50
qnn,8,fake_marrakesh,2400,0.1,50
qnn,8,fake_sherbrooke,2700,0.1,50
qnn,8,fake_torino,2800,0.1,50
qnn,9,aer_simulator,3800,0.1,50
qnn,9,fake_fez,5100,0.1,50
qnn,9,fake_kyiv,5050,0.1,50
qnn,9,fake_marrakesh,4800,0.1,50
qnn,9,fake_sherbrooke,5750,0.1,50
qnn,9,fake_torino,5250,0.1,50
qnn,10,aer_simulator,6600,0.1,50
qnn,10,fake_fez,8350,0.1,50
qnn,10,fake_kyiv,8900,0.1,50
qnn,10,fake_marrakesh,7950,0.1,50
qnn,10,fake_sherbrooke,8450,0.1,50
qnn,10,fake_torino,8400,0.1,50
qnn,11,aer_simulator,9250,0.1,50
qnn,11,fake_fez,12100,0.1,50
qnn,11,fake_kyiv,12300,0.1,50
qnn,11,fake_marrakesh,11300,0.1,50
qnn,11,fake_sherbrooke,12150,0.1,50
qnn,11,fake_torino,11850,0.1,50
qnn,12,aer_simulator,11300,0.1,50
qnn,12,fake_fez,14700,0.1,50
qnn,12,fake_kyiv,15000,0.1,50
qnn,12,fake_marrakesh,14350,0.1,50
qnn,12,fake_sherbrooke,14950,0.1,50
qnn,12,fake_torino,14900,0.1,50
qnn,13,aer_simulator,14400,0.1,50
qnn,13,fake_fez,16900,0.1,50
qnn,13,fake_kyiv,17150,0.1,50
qnn,13,fake_marrakesh,16650,0.1,50
qnn,13,fake_sherbrooke,17100,0.1,50
qnn,13,fake_torino,16950,0.1,50
qnn,14,aer_simulator,16250,0.1,50
qnn,14,fake_marrakesh,17450,0.1,50
qnn,14,fake_sherbrooke,17700,0.1,50
qnn,14,fake_torino,17650,0.1,50
qnn,15,aer_simulator,16500,0.1,50
qnn,15,fake_fez,17800,0.1,50
qnn,15,fake_kyiv,17900,0.1,50
qnn,15,fake_marrakesh,17700,0.1,50
qnn,15,fake_sherbrooke,17900,0.1,50
qnn,15,fake_torino,17850,0.1,50
qpeexact,4,aer_simulator,50,0.1,50
qpeexact,4,fake_fez,50,0.1,50
qpeexact,4,fake_kyiv,50,0.1,50
qpeexact,4,fake_marrakesh,50,0.1,50
qpeexact,4,fake_sherbrooke,50,0.1,50
qpeexact,4,fake_torino,50,0.1,50
qpeexact,5,aer_simulator,50,0.1,50
qpeexact,5,fake_fez,50,0.1,50
qpeexact,5,fake_kyiv,50,0.1,50
qpeexact,5,fake_marrakesh,50,0.1,50
qpeexact,5,fake_sherbrooke,100,0.1,50
qpeexact,5,fake_torino,50,0.1,50
qpeexact,6,aer_simulator,50,0.1,50
qpeexact,6,fake_fez,100,0.1,50
qpeexact,6,fake_kyiv,200,0.1,50
qpeexact,6,fake_marrakesh,50,0.1,50
qpeexact,6,fake_sherbrooke,200,0.1,50
qpeexact,6,fake_torino,100,0.1,50
qpeexact,7,aer_simulator,50,0.1,50
qpeexact,7,fake_fez,150,0.1,50
qpeexact,7,fake_kyiv,350,0.1,50
qpeexact,7,fake_marrakesh,100,0.1,50
qpeexact,7,fake_sherbrooke,300,0.1,50
qpeexact,7,fake_torino,350,0.1,50
qpeexact,8,aer_simulator,50,0.1,50
qpeexact,8,fake_fez,300,0.1,50
qpeexact,8,fake_kyiv,600,0.1,50
qpeexact,8,fake_marrakesh,200,0.1,50
qpeexact,8,fake_sherbrooke,900,0.1,50
qpeexact,8,fake_torino,300,0.1,50
qpeexact,9,aer_simulator,50,0.1,50
qpeexact,9,fake_fez,750,0.1,50
qpeexact,9,fake_kyiv,2050,0.1,50
qpeexact,9,fake_marrakesh,500,0.1,50
qpeexact,9,fake_sherbrooke,1450,0.1,50
qpeexact,9,fake_torino,950,0.1,50
qpeexact,10,aer_simulator,50,0.1,50
qpeexact,10,fake_fez,1100,0.1,50
qpeexact,10,fake_kyiv,2800,0.1,50
qpeexact,10,fake_marrakesh,700,0.1,50
qpeexact,10,fake_sherbrooke,2550,0.1,50
qpeexact,10,fake_torino,1950,0.1,50
qpeexact,11,aer_simulator,50,0.1,50
qpeexact,11,fake_fez,2250,0.1,50
qpeexact,11,fake_kyiv,5650,0.1,50
qpeexact,11,fake_marrakesh,2100,0.1,50
qpeexact,11,fake_sherbrooke,4950,0.1,50
qpeexact,11,fake_torino,3000,0.1,50
qpeexact,12,aer_simulator,50,0.1,50
qpeexact,12,fake_fez,3450,0.1,50
qpeexact,12,fake_kyiv,8700,0.1,50
qpeexact,12,fake_marrakesh,2950,0.1,50
qpeexact,12,fake_sherbrooke,7500,0.1,50
qpeexact,12,fake_torino,5350,0.1,50
qpeexact,13,aer_simulator,50,0.1,50
qpeexact,13,fake_fez,5500,0.1,50
qpeexact,13,fake_kyiv,12250,0.1,50
qpeexact,13,fake_marrakesh,4600,0.1,50
qpeexact,13,fake_sherbrooke,10800,0.1,50
qpeexact,13,fake_torino,8650,0.1,50
qpeexact,14,aer_simulator,50,0.1,50
qpeexact,14,fake_fez,8600,0.1,50
qpeexact,14,fake_kyiv,14850,0.1,50
qpeexact,14,fake_marrakesh,7050,0.1,50
qpeexact,14,fake_sherbrooke,13550,0.1,50
qpeexact,14,fake_torino,11000,0.1,50
qpeexact,15,aer_simulator,50,0.1,50
qpeexact,15,fake_fez,11100,0.1,50
qpeexact,15,fake_kyiv,16550,0.1,50
qpeexact,15,fake_marrakesh,9400,0.1,50
qpeexact,15,fake_sherbrooke,15700,0.1,50
qpeexact,15,fake_torino,13650,0.1,50
random,4,aer_simulator,50,0.1,50
random,4,fake_fez,200,0.1,50
random,4,fake_kyiv,100,0.1,50
random,4,fake_marrakesh,250,0.1,50
random,4,fake_sherbrooke,150,0.1,50
random,4,fake_torino,250,0.1,50
random,5,aer_simulator,100,0.1,50
random,5,fake_fez,350,0.1,50
random,5,fake_kyiv,350,0.1,50
random,5,fake_marrakesh,250,0.1,50
random,5,fake_sherbrooke,700,0.1,50
random,5,fake_torino,200,0.1,50
random,6,aer_simulator,300,0.1,50
random,6,fake_kyiv,850,0.1,50
random,6,fake_marrakesh,550,0.1,50
random,6,fake_sherbrooke,1000,0.1,50
random,6,fake_torino,650,0.1,50
